tid,competition_name,type,win,goals_against,goals_for,game_count,team_name,tricode,pp,pk,ppgf,win_pct,avg_gf,avg_ga
14,2014 NHL Regular Season,2,32.0,242.0,219.0,81,Philadelphia Flyers,PHI,329,314,70.0,0.3950617283950617,2.7037037037037037,2.9876543209876543
14,2015 NHL Playoff,3,2.0,14.0,6.0,6,Philadelphia Flyers,PHI,38,32,1.0,0.3333333333333333,1.0,2.3333333333333335
14,2015 NHL Regular Season,2,41.0,219.0,216.0,80,Philadelphia Flyers,PHI,351,368,59.0,0.5125,2.7,2.7375
14,2016 NHL Regular Season,2,38.0,238.0,218.0,81,Philadelphia Flyers,PHI,317,348,65.0,0.4691358024691358,2.691358024691358,2.9382716049382718
14,2017 NHL Playoff,3,2.0,28.0,15.0,6,Philadelphia Flyers,PHI,34,29,2.0,0.3333333333333333,2.5,4.666666666666667
14,2017 NHL Regular Season,2,42.0,244.0,251.0,81,Philadelphia Flyers,PHI,280,321,59.0,0.5185185185185185,3.0987654320987654,3.0123456790123457
16,2010 NHL Playoff,3,9.0,55.0,50.0,17,San Jose Sharks,SJS,93,88,17.0,0.5294117647058824,2.9411764705882355,3.235294117647059
16,2010 NHL Regular Season,2,46.5,214.0,245.0,81,San Jose Sharks,SJS,348,363,86.0,0.5740740740740741,3.0246913580246915,2.6419753086419755
16,2011 NHL Playoff,3,1.0,14.0,8.0,5,San Jose Sharks,SJS,28,29,2.0,0.2,1.6,2.8
16,2011 NHL Regular Season,2,22.0,91.0,111.0,37,San Jose Sharks,SJS,151,170,37.0,0.5945945945945946,3.0,2.4594594594594597
16,2012 NHL Playoff,3,7.0,22.0,25.0,11,San Jose Sharks,SJS,35,56,11.0,0.6363636363636364,2.272727272727273,2.0
16,2012 NHL Regular Season,2,25.0,121.0,129.0,48,San Jose Sharks,SJS,194,214,41.0,0.5208333333333334,2.6875,2.5208333333333335
16,2013 NHL Playoff,3,3.0,26.0,22.0,7,San Jose Sharks,SJS,43,48,4.0,0.42857142857142855,3.142857142857143,3.7142857142857144
16,2013 NHL Regular Season,2,51.0,209.0,260.0,82,San Jose Sharks,SJS,286,358,59.0,0.6219512195121951,3.1707317073170733,2.548780487804878
16,2014 NHL Regular Season,2,39.0,238.0,230.0,81,San Jose Sharks,SJS,299,326,61.0,0.48148148148148145,2.8395061728395063,2.9382716049382718
16,2015 NHL Playoff,3,14.0,56.0,75.0,24,San Jose Sharks,SJS,75,90,29.0,0.5833333333333334,3.125,2.3333333333333335
16,2015 NHL Regular Season,2,45.0,214.0,244.0,81,San Jose Sharks,SJS,289,338,68.0,0.5555555555555556,3.0123456790123457,2.6419753086419755
16,2016 NHL Playoff,3,2.5,11.0,14.0,6,San Jose Sharks,SJS,17,27,7.0,0.4166666666666667,2.3333333333333335,1.8333333333333333
16,2016 NHL Regular Season,2,44.5,190.0,212.0,79,San Jose Sharks,SJS,253,280,44.0,0.5632911392405063,2.6835443037974684,2.4050632911392404
16,2017 NHL Playoff,3,6.0,26.0,30.0,10,San Jose Sharks,SJS,51,57,11.0,0.6,3.0,2.6
16,2017 NHL Regular Season,2,43.0,235.0,257.0,80,San Jose Sharks,SJS,262,287,55.0,0.5375,3.2125,2.9375
17,2010 NHL Playoff,3,3.0,22.0,17.0,7,Buffalo Sabres,BUF,48,46,13.0,0.42857142857142855,2.4285714285714284,3.142857142857143
17,2010 NHL Regular Season,2,43.0,235.0,251.0,82,Buffalo Sabres,BUF,393,364,83.0,0.524390243902439,3.0609756097560976,2.8658536585365852
17,2011 NHL Regular Season,2,17.0,123.0,106.0,39,Buffalo Sabres,BUF,190,193,32.0,0.4358974358974359,2.717948717948718,3.1538461538461537
17,2012 NHL Regular Season,2,21.0,149.0,130.0,48,Buffalo Sabres,BUF,238,227,31.0,0.4375,2.7083333333333335,3.1041666666666665
17,2013 NHL Regular Season,2,21.0,254.0,166.0,80,Buffalo Sabres,BUF,332,318,40.0,0.2625,2.075,3.175
17,2014 NHL Regular Season,2,23.0,277.0,166.0,81,Buffalo Sabres,BUF,325,293,36.0,0.2839506172839506,2.049382716049383,3.419753086419753
17,2015 NHL Regular Season,2,35.5,220.0,201.0,81,Buffalo Sabres,BUF,278,316,15.0,0.4382716049382716,2.4814814814814814,2.7160493827160495
17,2016 NHL Regular Season,2,32.5,237.0,200.0,81,Buffalo Sabres,BUF,286,288,23.0,0.4012345679012346,2.4691358024691357,2.925925925925926
17,2017 NHL Regular Season,2,26.0,247.0,182.0,76,Buffalo Sabres,BUF,257,278,16.0,0.34210526315789475,2.3947368421052633,3.25
18,2010 NHL Playoff,3,7.0,27.0,36.0,11,Detroit Red Wings,DET,59,55,6.0,0.6363636363636364,3.272727272727273,2.4545454545454546
18,2010 NHL Regular Season,2,45.5,235.0,255.0,80,Detroit Red Wings,DET,325,339,70.0,0.56875,3.1875,2.9375
18,2011 NHL Playoff,3,1.0,13.0,9.0,5,Detroit Red Wings,DET,26,28,4.0,0.2,1.8,2.6
18,2011 NHL Regular Season,2,25.0,89.0,128.0,39,Detroit Red Wings,DET,160,168,30.0,0.6410256410256411,3.282051282051282,2.282051282051282
18,2012 NHL Playoff,3,7.0,37.0,33.0,14,Detroit Red Wings,DET,62,63,7.0,0.5,2.357142857142857,2.642857142857143
18,2012 NHL Regular Season,2,22.0,113.0,117.0,46,Detroit Red Wings,DET,179,206,38.0,0.4782608695652174,2.5434782608695654,2.4565217391304346
18,2013 NHL Playoff,3,1.0,14.0,6.0,5,Detroit Red Wings,DET,20,23,2.0,0.2,1.2,2.8
18,2013 NHL Regular Season,2,38.0,231.0,225.0,80,Detroit Red Wings,DET,326,311,65.0,0.475,2.8125,2.8875
18,2014 NHL Playoff,3,3.0,17.0,15.0,7,Detroit Red Wings,DET,38,39,9.0,0.42857142857142855,2.142857142857143,2.4285714285714284
18,2014 NHL Regular Season,2,42.0,233.0,244.0,81,Detroit Red Wings,DET,337,344,73.0,0.5185185185185185,3.0123456790123457,2.876543209876543
18,2015 NHL Playoff,3,1.0,12.0,8.0,5,Detroit Red Wings,DET,35,37,3.0,0.2,1.6,2.4
18,2015 NHL Regular Season,2,40.0,220.0,209.0,79,Detroit Red Wings,DET,324,318,59.0,0.5063291139240507,2.6455696202531644,2.7848101265822787
18,2016 NHL Regular Season,2,33.0,250.0,213.0,82,Detroit Red Wings,DET,302,322,46.0,0.4024390243902439,2.597560975609756,3.048780487804878
18,2017 NHL Regular Season,2,29.0,249.0,212.0,79,Detroit Red Wings,DET,293,278,48.0,0.3670886075949367,2.6835443037974684,3.151898734177215
19,2010 NHL Playoff,3,6.0,33.0,33.0,12,Nashville Predators,NSH,49,60,7.0,0.5,2.75,2.75
19,2010 NHL Regular Season,2,44.0,189.0,215.0,80,Nashville Predators,NSH,315,308,53.0,0.55,2.6875,2.3625
19,2011 NHL Playoff,3,5.0,21.0,22.0,10,Nashville Predators,NSH,43,48,7.0,0.5,2.2,2.1
19,2011 NHL Regular Season,2,21.0,113.0,106.0,40,Nashville Predators,NSH,170,164,37.0,0.525,2.65,2.825
19,2012 NHL Regular Season,2,16.0,145.0,117.0,47,Nashville Predators,NSH,178,177,33.0,0.3404255319148936,2.4893617021276597,3.0851063829787235
19,2013 NHL Regular Season,2,38.0,248.0,221.0,81,Nashville Predators,NSH,305,310,61.0,0.4691358024691358,2.728395061728395,3.0617283950617282
19,2014 NHL Playoff,3,2.0,19.0,21.0,6,Nashville Predators,NSH,24,28,6.0,0.3333333333333333,3.5,3.1666666666666665
19,2014 NHL Regular Season,2,46.0,216.0,235.0,81,Nashville Predators,NSH,287,312,45.0,0.5679012345679012,2.9012345679012346,2.6666666666666665
19,2015 NHL Playoff,3,7.0,43.0,31.0,14,Nashville Predators,NSH,57,53,4.0,0.5,2.2142857142857144,3.0714285714285716
19,2015 NHL Regular Season,2,40.5,208.0,222.0,79,Nashville Predators,NSH,305,310,59.0,0.5126582278481012,2.810126582278481,2.632911392405063
19,2016 NHL Playoff,3,13.0,47.0,58.0,21,Nashville Predators,NSH,88,92,19.0,0.6190476190476191,2.761904761904762,2.238095238095238
19,2016 NHL Regular Season,2,40.0,224.0,234.0,81,Nashville Predators,NSH,317,333,50.0,0.49382716049382713,2.888888888888889,2.765432098765432
19,2017 NHL Playoff,3,7.0,42.0,41.0,13,Nashville Predators,NSH,52,53,8.0,0.5384615384615384,3.1538461538461537,3.230769230769231
19,2017 NHL Regular Season,2,52.0,215.0,268.0,81,Nashville Predators,NSH,365,334,58.0,0.6419753086419753,3.308641975308642,2.654320987654321
20,2010 NHL Playoff,3,16.0,48.0,76.0,24,Boston Bruins,BOS,126,116,22.0,0.6666666666666666,3.1666666666666665,2.0
20,2010 NHL Regular Season,2,46.0,200.0,250.0,82,Boston Bruins,BOS,368,370,74.0,0.5609756097560976,3.048780487804878,2.4390243902439024
20,2011 NHL Playoff,3,3.0,16.0,15.0,7,Boston Bruins,BOS,25,29,2.0,0.42857142857142855,2.142857142857143,2.2857142857142856
20,2011 NHL Regular Season,2,25.0,69.0,136.0,36,Boston Bruins,BOS,190,181,36.0,0.6944444444444444,3.7777777777777777,1.9166666666666667
20,2012 NHL Playoff,3,14.0,47.0,65.0,22,Boston Bruins,BOS,97,92,23.0,0.6363636363636364,2.9545454545454546,2.1363636363636362
